,name,actual_invoicing,new_invoicing,loss_invoicing,variation_invoicing,variation_percent,reduction_only_invoicing
0,JBL Flip 3 Splashproof Portable Bluetooth Speaker (Teal),1059.84,2312.86,0.0,1253.02,118.23,1165.82
1,Get Up Stand Bluetooth Home Audio System,3607.86,6098.7,0.0,2490.84,69.04,3968.65
2,SRS-XB40 Bluetooth Speaker (Black),4849.79,1894.13,2955.66,-2955.66,-60.94,5334.77
3,SRS-XB40 Bluetooth Speaker (Blue),3999.83,1533.47,2466.36,-2466.36,-61.66,4399.81
4,"DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",4339.85,-22524.82,26864.67,-26864.67,-619.02,4773.83
